,S-node-span,SSE-added-span,SSE-added-wrong,SS-node-span,SSE-node-span
17309,676142.0,61404.0,0.0,184065.0,245469.0
17310,896138.0,186939.0,0.0,225430.0,412369.0
17311,2105398.0,872483.0,0.0,274744.0,1147227.0
17312,1707604.0,606750.0,0.0,900058.0,1506808.0
17313,1364039.0,632395.0,0.0,123616.0,756011.0
17314,1249545.0,694225.0,0.0,462277.0,1156502.0
17315,2600334.0,1513944.0,0.0,509154.0,2023098.0
17316,1638897.0,280642.0,0.0,577477.0,858119.0
17317,2070152.0,1760261.0,0.0,309891.0,2070152.0
17318,2257486.0,1186362.0,46741.0,637998.0,1824360.0
17319,998672.0,185003.0,0.0,113888.0,298891.0
17320,2469824.0,1406752.0,0.0,864794.0,2271546.0
17321,3063601.0,1084925.0,0.0,1274870.0,2359795.0
17322,1336676.0,56673.0,0.0,305344.0,362017.0
17323,2801933.0,904274.0,0.0,1052680.0,1956954.0
17324,265109.0,29158.0,0.0,48960.0,78118.0
17325,1113291.0,167795.0,0.0,392098.0,559893.0
17326,1789913.0,423888.0,0.0,663604.0,1087492.0
17327,378680.0,78924.0,0.0,299756.0,378680.0
17328,2205671.0,1016833.0,0.0,1188838.0,2205671.0
17329,1286452.0,469751.0,0.0,178325.0,648076.0
17330,437942.0,207177.0,0.0,128736.0,335913.0
17331,925120.0,907207.0,0.0,17913.0,925120.0
17332,2927147.0,31345.0,0.0,164099.0,195444.0
17333,1424379.0,391468.0,315177.0,77025.0,468493.0
17334,859549.0,445029.0,0.0,197115.0,642144.0
17335,719199.0,150252.0,0.0,21449.0,171701.0
17336,435123.0,393309.0,0.0,41814.0,435123.0
17337,1009107.0,758828.0,92832.0,172526.0,931354.0
17338,1225794.0,90774.0,0.0,231639.0,322413.0
17339,1671962.0,1479414.0,0.0,4153.0,1483567.0
17340,3041876.0,1861945.0,274681.0,412795.0,2274740.0
17341,1589893.0,574806.0,0.0,51202.0,626008.0
17342,707181.0,824437.0,448864.0,105298.0,929735.0
17343,4792007.0,2450476.0,0.0,1150653.0,3601129.0
17344,692592.0,130393.0,0.0,562199.0,692592.0
17345,1310598.0,534732.0,0.0,686754.0,1221486.0
17346,550115.0,454385.0,0.0,95730.0,550115.0
17347,1256189.0,776489.0,0.0,312468.0,1088957.0
17348,1511132.0,1277638.0,0.0,233494.0,1511132.0
17349,2717875.0,1070283.0,0.0,210796.0,1281079.0
17350,443958.0,81422.0,0.0,362536.0,443958.0
17351,2169369.0,543748.0,0.0,506084.0,1049832.0
17352,1464230.0,206260.0,0.0,278710.0,484970.0
17353,682985.0,1531462.0,1079776.0,209302.0,1740764.0
17354,4002058.0,2477068.0,0.0,630912.0,3107980.0
17355,410567.0,274111.0,0.0,33619.0,307730.0
17356,1229712.0,555650.0,0.0,563375.0,1119025.0
17357,4913430.0,1958546.0,0.0,385072.0,2343618.0
17358,292566.0,115937.0,0.0,24044.0,139981.0
17359,1511172.0,525535.0,0.0,174503.0,700038.0
17360,837211.0,775790.0,0.0,61421.0,837211.0
17361,504715.0,125078.0,0.0,379637.0,504715.0
17362,2078715.0,446691.0,0.0,787580.0,1234271.0
17363,693981.0,472627.0,0.0,221354.0,693981.0
17364,407514.0,25070.0,0.0,54175.0,79245.0
17365,1415659.0,424759.0,0.0,50311.0,475070.0
17366,2540742.0,682815.0,66569.0,1326639.0,2009454.0
17367,776609.0,269421.0,751.0,503489.0,772910.0
17368,370952.0,196950.0,0.0,128990.0,325940.0
17369,1097468.0,305655.0,0.0,90100.0,395755.0
17370,342895.0,142472.0,0.0,200423.0,342895.0
17371,1881352.0,1009339.0,0.0,872013.0,1881352.0
